num_RUs,num_slices,num_URLLC,num_PRB_per_RU,Pmax_mW,avg_thr_ml,avg_sla_embb_ml,avg_sla_urllc_ml,avg_power_ml,util_ml,avg_thr_flat,avg_sla_embb_flat,avg_sla_urllc_flat,avg_power_flat,util_flat
3,15,5,52,300.0,54.39,0.849,1.0,0.974,0.939,49.962,0.789,1.0,1.0,1.0
3,20,10,52,300.0,46.807,0.771,1.0,0.922,0.958,41.076,0.687,1.0,1.0,1.0
3,25,15,52,300.0,38.06,0.645,1.0,0.879,0.956,32.077,0.563,1.0,1.0,1.0
3,30,20,52,300.0,32.29,0.571,1.0,0.827,0.971,28.52,0.507,1.0,1.0,1.0





